105954.txt,105954.ann
164366.txt,164366.ann
110342.txt,110342.ann
111882.txt,111882.ann
184696.txt,184696.ann
103074.txt,103074.ann
166834.txt,166834.ann
168831.txt,168831.ann
111458.txt,111458.ann
116451.txt,116451.ann
100579.txt,100579.ann
122733.txt,122733.ann
100035.txt,100035.ann
185759.txt,185759.ann
172474.txt,172474.ann
109617.txt,109617.ann
113840.txt,113840.ann
193517.txt,193517.ann
112747.txt,112747.ann
111298.txt,111298.ann
110186.txt,110186.ann
118243.txt,118243.ann
103677.txt,103677.ann
110384.txt,110384.ann
120253.txt,120253.ann
152612.txt,152612.ann
109170.txt,109170.ann
101276.txt,101276.ann
102019.txt,102019.ann
104468.txt,104468.ann
161384.txt,161384.ann
151904.txt,151904.ann
112140.txt,112140.ann
157352.txt,157352.ann
101857.txt,101857.ann
104091.txt,104091.ann
103926.txt,103926.ann
112368.txt,112368.ann
105614.txt,105614.ann
119573.txt,119573.ann
102027.txt,102027.ann
102557.txt,102557.ann
104682.txt,104682.ann
114452.txt,114452.ann
123771.txt,123771.ann
102967.txt,102967.ann
157609.txt,157609.ann
113705.txt,113705.ann
100590.txt,100590.ann
122057.txt,122057.ann
101665.txt,101665.ann
108658.txt,108658.ann
104710.txt,104710.ann
112628.txt,112628.ann
111447.txt,111447.ann
195784.txt,195784.ann
120301.txt,120301.ann
129286.txt,129286.ann
105778.txt,105778.ann
117156.txt,117156.ann
103877.txt,103877.ann
105547.txt,105547.ann
125867.txt,125867.ann
174143.txt,174143.ann
178143.txt,178143.ann
174037.txt,174037.ann
101331.txt,101331.ann
112832.txt,112832.ann
192798.txt,192798.ann
115191.txt,115191.ann
117745.txt,117745.ann
112615.txt,112615.ann
100039.txt,100039.ann
109784.txt,109784.ann
109633.txt,109633.ann
115232.txt,115232.ann
105747.txt,105747.ann
119144.txt,119144.ann
106064.txt,106064.ann
101092.txt,101092.ann
131434.txt,131434.ann
111041.txt,111041.ann
115347.txt,115347.ann
111323.txt,111323.ann
113524.txt,113524.ann
100564.txt,100564.ann
182003.txt,182003.ann
187782.txt,187782.ann
174150.txt,174150.ann
115021.txt,115021.ann
112014.txt,112014.ann
151688.txt,151688.ann
104850.txt,104850.ann
118510.txt,118510.ann
103722.txt,103722.ann
114248.txt,114248.ann
100229.txt,100229.ann
115432.txt,115432.ann
155980.txt,155980.ann
103293.txt,103293.ann
114923.txt,114923.ann
105027.txt,105027.ann
182160.txt,182160.ann
185800.txt,185800.ann
108073.txt,108073.ann
117609.txt,117609.ann
104107.txt,104107.ann
108932.txt,108932.ann
109191.txt,109191.ann
130076.txt,130076.ann
116853.txt,116853.ann
102173.txt,102173.ann
102629.txt,102629.ann
149614.txt,149614.ann
102365.txt,102365.ann
114513.txt,114513.ann
145012.txt,145012.ann
101136.txt,101136.ann
115143.txt,115143.ann
115157.txt,115157.ann
105445.txt,105445.ann
121915.txt,121915.ann
114004.txt,114004.ann
108411.txt,108411.ann
100677.txt,100677.ann
150068.txt,150068.ann
198406.txt,198406.ann
106038.txt,106038.ann
113391.txt,113391.ann
109450.txt,109450.ann
106575.txt,106575.ann
102698.txt,102698.ann
127356.txt,127356.ann
164253.txt,164253.ann
106415.txt,106415.ann
108809.txt,108809.ann
104799.txt,104799.ann
124307.txt,124307.ann
107251.txt,107251.ann
106629.txt,106629.ann
120605.txt,120605.ann
101813.txt,101813.ann
123324.txt,123324.ann
116604.txt,116604.ann
107047.txt,107047.ann
168331.txt,168331.ann
124891.txt,124891.ann
107872.txt,107872.ann
113813.txt,113813.ann
100847.txt,100847.ann
105254.txt,105254.ann
123244.txt,123244.ann
103142.txt,103142.ann
110499.txt,110499.ann
102937.txt,102937.ann
177370.txt,177370.ann
115244.txt,115244.ann
109527.txt,109527.ann
178331.txt,178331.ann
101427.txt,101427.ann
100922.txt,100922.ann
196798.txt,196798.ann
187736.txt,187736.ann
112249.txt,112249.ann
109866.txt,109866.ann
111542.txt,111542.ann
143562.txt,143562.ann
101779.txt,101779.ann
127741.txt,127741.ann
117872.txt,117872.ann
109697.txt,109697.ann
114836.txt,114836.ann
161477.txt,161477.ann
106361.txt,106361.ann
117907.txt,117907.ann
186788.txt,186788.ann
131903.txt,131903.ann
107255.txt,107255.ann
119069.txt,119069.ann
104979.txt,104979.ann
105050.txt,105050.ann
117871.txt,117871.ann
168915.txt,168915.ann
107322.txt,107322.ann
118564.txt,118564.ann
100883.txt,100883.ann
